Movie,title,review
Pirates of the Caribbean: At World's End (2007),Fitting Finale,"Just finished viewing a private screening of the final chapter of the Pirates of the Caribbean and can confirm it does not disappoint.

The original is still the best but 'At World's End' completes the trilogy on a high note.

Johnny Depp continues to shine as Captain Jack and Chow Yun Fat makes a huge impact as Captain Sao Feng. Academy Award winner Geoffrey Rush returns as Barbossa and his exclusion from most of the 2nd movie was the reason it was my least favorite out of the whole trilogy. Keira Knightly and Orlando Bloom complete the All-star class and do an OK job as their respective characters.

The whole film build up to the final battle which is one of the finest since the Lord of the Rings.

If your a Pirates of the Carribbean Fan, this one is not to be missed.

8/10"
Pirates of the Caribbean: At World's End (2007),As awesome a finale as anyone could have hoped for...,"If you, like me, were disappointed by the over-hyped, sloppy and disappointing returns of Shrek and Spiderman in the first two mega-threquels of the summer, then I have good news for you. One third entry in a huge cinema franchise is every bit as good as you would expect.

While lacking the surprise of the original, the third Pirates film is much better than the second (though I liked it, I thought it had too many jokes and gags; a lot of the heart in the first was missing it seemed). Its lengthier, and not in a slowed-down way. Longer meaning more action, more characters (Chow Yun Fat and Keith Richards are awesome), and a final battle so enriched with awesome design, careful choreography and stunning visual effects it will blow your mind.

The cast is great, the thrills all first-rate. I don't want to give away any of the surprises and great moments to die-hard fans like myself. Just trust me: this summer spend your buck on Pirates...it's worth it!!!!"
Pirates of the Caribbean: At World's End (2007),"""Pirates"" Destroys Part of Afterlife and All my Hopes and Dreams",spoiler warning
Pirates of the Caribbean: At World's End (2007),Pirates 3: Not a Disaster at All,"The third installment of Pirates of the Caribbean is not, as popularly believed, disastrous or incredibly confusing. At the very start of the movie I was hooked again.

The movie contains a lot of information to process, but if you actually sit down and follow it you'll find it is not confusing at all. As the third and hopefully not last Pirates of the Caribbean movie, I believe they did an excellent job. Although the movies have become more serious they are still funny and a lot of fun to watch.

Not only did this movie create another cliffhanger ending that leaves us wondering if there will be more but it also immortalized characters such as the famous Jack Sparrow.

I personally think that the second movie was not as bad as people said it was, it was also quite good. The third was definitely better, and allowed you to see the characters in a much different way.

So stop believing people when they say this movie wasn't good at all, it was excellent!"
Pirates of the Caribbean: At World's End (2007),Clunker,spoiler warning
Pirates of the Caribbean: At World's End (2007),I'm excited,"Chef-d'oeuvre. Magnificent, smart and dynamic film.

Gore Verbinski is a Great Director, whose name will be written by gold letters near such names like Lucas and Leone. I'm not sure that somebody see in him great master before this film. But it's happened, and the world has got new live classic. My congratulations for us!!! Excellent!!! This film is my strongest impression, which I've got watching Hollywood film this year. Depp is the best of the best, but in the third part of ""Pirates"" I can tell some pleasant words for Keira Knightley and even for Orlando. Well, I think that next main Oscars already found its owners.
38 out of 61 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),film industry vs. film art,spoiler warning
Pirates of the Caribbean: At World's End (2007),Movie Review: Pirates of the Caribbean: At World's End,"Pirates of the Caribbean: At World's End is the third and last of the money spinning trilogy, or so they say. Everything has led to this, or so they say again and I kept my mind opened. The first of the Pirates series, The Curse of the Black Pearl was good. It was a movie out of nothing or more correctly a movie inspired by nothing more than a Disney theme park ride. Having said that however the creation of Captain Jack Sparrow was nothing short of inspirational. Captain Jack played by the charismatic Johnny Depp became the talisman of Pirates of the Caribbean. Thought to be dead when we saw him charging into the jaws of monster octopus Kraken toward the end of Dead Man's Chest (the sequel), he is to be brought back from the dead in this latest film.

I have to be honest; I hated Dead Man's Chest. Its various plots and subplots were terribly tangled and confusing. It was hard to follow what sort of story or motives the movie wants to say. I blamed my lack of understanding for not comprehending Dead Man's Chest. That was summer of last year but since then I have done my research, for the billion dollars making movie was to have a third installment. Having seen one and two, I have to see three. But if I do not understand two then how can I go ahead with three. And so after a better understanding of two I saw three. You should know this. For all my efforts I was still robbed by the pirates.

I was led happily out into the open sea before being robbed. I was enjoying the first third of the 168 minutes film. Captain Jack's crew arrived in Singapore to look for Captain Sao Feng (Chow Yun-Fatt), pirate lord of the South China Sea for a ship and a map, so they could sail to world's end and rescue our favourite captain from Davy Jones's Locker. Davy Jones's Locker is a ghost realm of the netherworld where the dead Captain Jack Sparrow is being kept for eternity.

There appears to be some oriental influence in At World's End. Firstly of course we are introduced to a Chinese pirate, Captain Sao Feng. Secondly, the costumes and all were very well designed in an exquisite oriental fashion. And there was Singapore, a South East Asian country where Captain Sao Feng can be found.

The Singapore set features a bathhouse and I couldn't help relating it to Japanese animation master Hayao Miyazaki's Spirited Away. The popular animated film, released by Disney in the west has a bathhouse theme. The relation did not stop there, and I wondered if the scene where Captain Jack Sparrow is isolated in Davy Jones's Locker was inspired too by Hayao Miyazaki's work. The part where thousands of strange and curious yet harmless rounded stone-like crab helping Jack move his ship, The Black Pearl across a desert aroused my attention to this perspective. It was through the hands, eyes and imagination of the acclaimed animation master, Hayao Miyazaki that made famous the approach of detailing stories with thousands of mini little intriguing creatures. And it was fun to watch.

I was enjoying At World's End, laughing merrily at all the pirate jokes that the characters are lashing out at one another, feeling the thrill of the sword-fights and of course attracted to the sometimes witty, looney and mad character of Captain Jack Sparrow. That scene of him engaging himself to his many different personalities while alone in the deserted Davy Jones's Locker is a real gem.

But with all the oriental influences, the filmmakers probably did not take note of the teachings of Zen, where less is truly more. For when after the crew rescued Captain Jack Sparrow and brought him back to the mortal world, it all happened again. The tangling and confusing plots and subplots manifested once more and killed whatever is good about the film. In my opinion, if At World's End had ended after rescuing Captain Jack and had a straight approach in the gathering of forces to deal with Lord Cutler Beckett (Tom Hollander) and Davy Jones (Bill Nighy) with a fitting spectacle of a finale fight, the film would have been great.

I was trying to understand the story. In reflection I probably should not for it amounted to nothing. It just isn't worth it. It would be tiring for me just to list them all out. So just be warned that in the film, every character have their own personal agenda. It is ""me"" first and ""you"" later if ""you"" are still there. If that is the purpose of the story-writers to represent the meaning of how pirates are, then they have succeeded. In fact it was so successful that they lost me.

It bored me so much I no longer laughed at the jokes. It dragged on so long I no longer felt compelled to see the ending. I just want the film to end there and then. Enough was enough.

""Take whatever you can and give nothing back."" Thanks a billion, filmmakers, or is it thanks me instead?

This entire Pirate series is like a ride on a pirate ship in a theme park, it was thrilling for a start but as it swing back and forth too many times the nauseas will come and when it stops you find yourself displaced nowhere.

Pirates of the Caribbean: At World's End is a fine example of a good film gone bad because it had too many tangling tales to tell. I maintain that it is worth watching for the first third of the film but save yourself from seasickness in the middle just so you can enjoy the spectacular fight sequence toward the end."
Pirates of the Caribbean: At World's End (2007),Amazing and Brilliant....,"I will admit. I went in to this movie, the last of three, with the belief it would be great. I loved the first and was excited to see that the second was even better. Now I have seen the third and have to say again that I loved it even more than the others. Many times you go in to a movie with high hopes only to walk out disappointed and angry. This is not the case with the new ""Pirates of the Caribbean: At World's End."" I was lucky enough to get a pass to an exclusive Pre-Screening here in Jacksonville, Fl. I was planning on staying up to see it Thursday night as soon as the first movie hit the screens and am happy for the chance I received. Upon entering the theatre I was excited, especially after waiting in line for two hours. As soon as the movie started my excitement grew to colossus levels. The movie starts with a good old fashion pirates Yo Ho. It continued to surprise me and enthrall me in its wondrous beauty and imaginative world of pirating and swashbuckling. Pirates 3 evokes many responses from its crowd including excitement, laughter and tears. There are parts that make you sit on the edge of your seat while other times you sit back enthralled in the romance.

This movie brings you in, warms you up, coddles you, and lets you go with the knowledge you have been part of something great."
Pirates of the Caribbean: At World's End (2007),"A reasonably fitting ""end""","Once you start downhill, it's difficult to halt the momentum. So to apply this metaphor to the world of cinema, once a film franchise delivers a poor entry, it's almost impossible to not deliver poor ones from then on out. So, imagine the surprise when, after the lackluster Pirates of the Caribbean: Dead Man's Chest, that screenwriters Ted Elliot and Terry Rossio and director Gore Verbinski are able to deliver a superior third entry in the Pirates series with Pirates of the Caribbean: At World's End. It is hardly perfect, still far too long and lacking in emotional depth, but for a summer spectacle, it still manages to deliver the goods to a degree.

At World's End opens not long after Dead Man's Chest, with Will Turner (Orlando Bloom) and Elizabeth Swann (Keira Knightly) joining forces with recently resurrected Captain Barbossa (Geoffrey Rush) to rescue Jack Sparrow (Johnny Depp) from Davy Jones' locker, where he was dragged to by the Kraken at the conclusion of the last film. While they are on their way to the afterlife, Lord Cutler Beckett (Tom Hollander), has exerted his influence over Davy Jones (Bill Nighy) and is using him to bring the pirates of the world to their knees. With their very existence on the line, the pirate lords meet to discuss the possibility of joining forces to combat Beckett, but since these are pirates, there is a wide variety of skullduggery and backstabbing to be had.

Pirates of the Caribbean: At World's End is rife with dazzling visuals. As with both previous films, At World's End has spent it's almost-certainly astronomical budget on what actually goes on the screen. The sets, costumes, and stunning visual effects are impressive, to say the least. You might be excused for actually believing that what you are seeing is real at times, not just movie trickery. The make-up artists have also once again proved that they can be the go to guys for the creation of unappealing looking characters, as almost no one in Pirates of the Caribbean: At World's End looks like they have taken a bath or brushed their teeth, well, ever, which, in this case, seems to work for the film. If you want to see a visually spectacular motion picture, especially on the big screen, you need look no further than At World's End.

On the other hand, if you are interested in depth to go along with the glittery outside, then At World's End will prove to be somewhat lacking, although not nearly as much as Dead Man's Chest. The key problem to this film is that the characters are underdeveloped. Most of what makes them up is played out again without much added to the proceedings from the previous entries: Jack wants everything for himself, Barbossa wants what Jacks wants also, Will wants Elizabeth and Elizabeth wants, seemingly, to be a pirate. Frankly, it's a bit sad that the character with one of the best emotional arcs in the film is one of its villains, Davy Jones, who has an almost touching degree of pathos added to him thanks to a scene about halfway through the film. Perhaps it is the film's never ending attempt to keep the audience uncertain where the various characters loyalties lie that also works against the audiences' identification with almost anyone. When it seems that everyone is out only for themselves, it's hard to work up much enthusiasm for them.

The film's cardinal sin, as has been the case with every Pirates entry thus far, is its bloated length. At World's End does not have nearly the lopsided running time to substance ratio that Dead Man's Chest did, but it still overstays it's welcome. Much like fellow summer blockbuster Spider-Man 3, the filmmakers seem to believe that bigger is better, and that is sometimes just not the case. In the film's defense, there is quite of bit of plot to fill the minutes, but it could have still been trimmed back to some degree while maintaining, and perhaps even increasing, the entertainment value.

That being said, At World's End still manages a few surprises, and the ending does pay off much of what has gone before, and even though the ""love"" between Elizabeth and Will seems almost non-existent, a key scene at the end on a beach does manage to be effective. The actors also generally deliver once again. Johnny Depp is entertaining as ever as Jack Sparrow, although he finds the screen time a bit split amongst the various other characters this outing. Depp seems to be having a good time in the role, and it's hard to not understand his public statements that he would be willing to go more rounds as the character. Rush is also effective as Barbossa and Keira Knightley shows a bit more energy than in the last entry, as does Orlando Bloom in the part of Will.

So, what began as a seemingly bad idea (a Disney theme park ride turned into a summer film) has concluded three films later with one of biggest displays of blockbuster film-making, in terms of scope, as has been seen in recent years. That the spectacle isn't quite in service of an appropriate amount of core material is disappointing, but Pirates of the Caribbean: At World's End is hardly a loss. It provides a decent amount of entertainment, buckets of eye candy and a good laugh here and there. While filmmakers should perhaps aspire to more, what they manage deliver isn't half bad. I suppose that might sound like damning with faint praise, but you just have to call them as you see them."
Pirates of the Caribbean: At World's End (2007),Excellent... The best action / fantasy film,"I absolutely loved this film. It sucked you in right from the beginning and held you to the very end(make sure wait through the screen credits). The(real)photography was beautiful with stunning locations. The CG was some of the best I've seen. This film is often bright and pleasing to the eye unlike many others. Special effects?? awesome! The sets / ships were proof of the attention to detail of the art and construction departments. The story and the way it was acted out just couldn't have been better. It was exciting, maybe a little scary for the little ones and often times very funny. I can't imagine the amount of research involved putting this all together.
421 out of 823 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),"Hard-hitting, Spectacular, Fantastic- Ends the franchise in style!",spoiler warning
Pirates of the Caribbean: At World's End (2007),What did they do to this movie!!!!!!!!!!!!!!!!!!!!,"During the first movie they had an undead pirate crew. During the second movie they topped it with Davy Jones and a mutant fish crew. During the third movie, they had a god that was built up and did absolutely nothing, a crew from Singapore that wasn't cool and quickly faded out of memory, and a wicked evil navel captain that froze up in the heat of battle at the end.

There was no conclusion between Davy Jones and Calypso. There wasn't a love scene at all between Jack and Elizabeth, even though it was perfectly set up to have one. The Cracken had a non existent death.

There are so many other crappy parts to this script...

The first movie was amazing, the second one topped the first, the third one is the biggest pile I have ever seen. It was a massive disappointment."
Pirates of the Caribbean: At World's End (2007),Only for the most die-hard fans of the previous two,"I don't know how anyone, cast and crew included, could think that 3 hours is a good length for this film. The film could be drastically improved--but not saved--by cutting out an hour. Or maybe even an hour and a half. And that is not a complaint that I have too often. I don't mind long movies. But this one just drags and drags and drags. And I don't mind slow movies either. But the ""plot""--if you can even call it that--is much too convoluted. There are too many things going on at any given time for you too actually care what happens to any of the characters.

And if you haven't seen the first two films, do not see this one. You will have no idea what is going on. You would think that with 3 hours the writers could properly introduce you to all of the characters. But you would be wrong.

Obviously, this movie will have a huge opening weekend. But look for it to drastically drop off on its second weekend as word of mouth spreads. Just like Spider-Man 3.

This movie epitomizes everything wrong with Hollywood today. There is way too much time spent on over-the-top action. And almost no time spent on characterization. Every year movie theater attendance goes down, and every year ticket prices go up. And this film will only worsen that problem. There will be tons of people who walk out of the theater and say ""That definitely wasn't worth my time or money."" And it will probably be a while before they make a trip to the theater again.

If the major studios would concentrate on making quality films, every thing else would take care of itself."
Pirates of the Caribbean: At World's End (2007),A fine ending!,"This is a fantastic ending to a great trilogy. I know many were disappointed with the 2nd installment, but you will not be disappointed by this one! I think it's equivalent to the 1st in quality.

The battle scenes are AMAZING and the new and old characters are perfect. Johnny Depp delivers as usual but the addition of Keith Richards as his dad sealed the deal (at least for me anyway). The twists and turns of this movie keep you guessing and sitting at the edge of your seat.

THIS IS A MOVIE NOT TO BE MISSED!!!

***there is a scene at the end of the credits so don't forget to stay!!!!
289 out of 561 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),2 1/2 Hours Of My Life I'll Never Get Back!!!,"I noticed a comment in the trivia section for the movie ""Filming was started without a finished script."" I think that about says it all for me. If you put 1000 monkeys in front of 1000 typewriters for 100 years, the script for this movie would be what you would get from their efforts. What a crappy, noisy, confusing bunch of overdone special effects. I only went to see it because my husband wanted to. And for the record, I LOVED the first movie! Why do they always have to make sequels? Hmmm...oh I forgot, to make more MONEY!!! Not only is the plot confusing, but the whole movie is visually repulsive. Everything and everyone is slimy, sweaty, dirty, and have rotten teeth (except of course for the lovely two leads, who have to be pretty and dirty at the same time.) I was exhausted and drained at the end of the movie. A quote from Shakespeare comes to mind ""Sound and fury, signifying nothing"" Please, don't make a fourth movie Hollywood, I can't take any more.
45 out of 77 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),"part 1 and 2 were great, part 3 is a big disappointment",spoiler warning
Pirates of the Caribbean: At World's End (2007),'At World's End': How to blow several million dollars without breaking a sweat.,"The third movie in this series is truly a lazy effort from all involved. The story is mundane, unimaginative and basically a rehash of what we have already learned from 'Dead Man's Chest'. For a family adventure movie it is unforgivably boring, with long sections of humming & hawing punctuated only by brief action sequences that look like they've been shot by the 2nd Unit director in a couple of hours.

The humor has been reduced to catchphrases, the script forcing Johnny Depp grind a likable character into the dust until it's nothing more than tiresome. The special effects while still excellent (notably Davy Jones' tentacles) offer nothing more than what we have already seen in the first two movies, and certainly nothing with even half the imagination of the original's moonlight skeletons. In a 3 hour 'event' movie it's shocking that not a single set-piece was in anyway noteworthy, from stunted opener to fizzling finale.

Geoffrey Rush deserves an honorable mention for keeping me in my seat during what has to be one of the most contrived love scenes I've ever witnessed. His performance as Barbossa, the quintessential pirate is deserving of a far better movie. This alone will earn 'At World's End' its one star, but yet I still can't help feeling like I'm being ripped off."
Pirates of the Caribbean: At World's End (2007),"Bloated and overrated,","I went to see the 9:30 show yesterday with five friends, and we were pumped. Actually, they were, since I had the feeling that Pirates 3 would end up as another Pirates 2: too long, special-effect heavy, and a nonsensical plot that passed itself as being ""heavy"" but making no sense.

Yes, the movie opens up perfectly, and offers hope. But after that, the movie goes down. Way down. There's all these little things flying around that try to come together, but most of the time I was scratching my head, despite having seen the previous two movies.

There is, of course, bright spots. When Johnny Depp FINALLY comes back, the movie becomes more interesting. The English antagonist is decidedly evil and plotting, and there are back stabs throughout the movie.

Really, it aspires to be an epic pirate movie, but there's too much wind for its sails.

There are some awe-inspiring and epic scenes, no doubt, but the movie as a whole will leave anyone but the most die-hard fans (which by from the ratings are many) wanting to walk this Pirate's plank."
Pirates of the Caribbean: At World's End (2007),What a pile of old rubbish,"Honestly I walked out after 45 minutes and went to the pub because even me, yes me, 'Mr. Over Analyser Of Films' completely lost what the heck was going on and quiet frankly once you've seen the first one (which was the best), you've seen them all because the 2 sequels (especially this one) are over indulgent, misdirected bilge.

The thing that makes me laugh is that whenever they interview one of the cast, they always say something along the lines of, 'oooo, i'll do it if the script is good enough!' Did you not actually read the script for the first too sequels or were you too blinded by the cheques for several million dollars? Sell outs!

I would like to apologise to my bottom on which I had to sit while taking in this insult to the film industry.
30 out of 49 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Pirates of the Caribbean: At World's End (2007),Quite Possibly The Worst Action Movie Ever Made,spoiler warning
Pirates of the Caribbean: At World's End (2007),Am I ten years old??,"I've seen Bugs Bunny cartoons with more plot and story line...I'm not getting it. I loved the first of this trilogy; I was somewhat entertained by the second; but this one??? Have we come to this as a society? It seems like every time I get stoked enough to go to a movie theater to watch a ""can't miss"" piece of entertainment, I get disappointed. This is childish at best...targeting those with the ten second attention span. Great effects; terrible or no plot; terrible or no story line; average to below average acting. I'm just amazed at the 7 of 10 overall star rating this cartoon is getting here??? What have we become? SHEEP! I'd give it zero stars if it were an option.
74 out of 133 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
